line_num,text,issue,corrected_text
8,"Swenson originally attempted the route in 2001 with George Lowe, Joe Terravecchia, Steve Larson, Andy Tuthill and Eric Winkleman.",possible OCR: character substitution in personal names,"Swenson originally attempted the route in 2001 with George Lowe, Joe Terravecchia, Steve Larson, Andy Tuthill and Eric Winkelman."
56,"Even so, the nature of the climbing gave the team little confidence in their ability to reach the summit, though it loomed just overhead.",no significant OCR errors detected,"Even so, the nature of the climbing gave the team little confidence in their ability to reach the summit, though it loomed just overhead."
67,"Finally, it is important to note that the expedition was undertaken adhering to strict environmental standards, deep respect for the communities of the Karakoram, and that the carbon footprint incurred by the expedition has been calculated and will be offset with the help of Protect Our Winters.",no significant OCR errors detected,"Finally, it is important to note that the expedition was undertaken adhering to strict environmental standards, deep respect for the communities of the Karakoram, and that the carbon footprint incurred by the expedition has been calculated and will be offset with the help of Protect Our Winters."
69,The team would like to first and foremost thank their families and friends for supporting them in the endeavour to climb this peak.,no significant OCR errors detected,The team would like to first and foremost thank their families and friends for supporting them in the endeavour to climb this peak.
96,The rest of the range is almost completely neglected despite being full of tempting possibilities.,no significant OCR errors detected,The rest of the range is almost completely neglected despite being full of tempting possibilities.
103,We flew onto the North Baird glacier from the fishing village of Petersburg on 30 April.,possible OCR: inconsistent capitalization in geographical names,We flew onto the North Baird Glacier from the fishing village of Petersburg on 30 April.
120,The sun was now rising quickly in the sky and the stability of the slope was about to deteriorate fast.,no significant OCR errors detected,The sun was now rising quickly in the sky and the stability of the slope was about to deteriorate fast.
143,Mount Phillips,no significant OCR errors detected,Mount Phillips
146,Conditions were challenging: few routes were in nick and just surviving on the hill was a challenge in itself.,possible OCR: no significant OCR errors detected,Conditions were challenging: few routes were in nick and just surviving on the hill was a challenge in itself.
164,I'd recently come across John Scurlock’s beautiful image of the north side of Mount Phillips in the Canadian Rockies on the Internet.,no significant OCR errors detected,I’d recently come across John Scurlock’s beautiful image of the north side of Mount Phillips in the Canadian Rockies on the Internet.
165,"A quick Google search revealed that Mount Phillips was a 3,246m peak just to the north of Mount Robson.",possible OCR: missing spacing in numerical measurement formatting,"A quick Google search revealed that Mount Phillips was a 3,246 m peak just to the north of Mount Robson."
166,"Even better, Phillips’ 600m north face appeared to be unclimbed.",possible OCR: missing spacing in numerical measurement formatting,"Even better, Phillips’ 600 m north face appeared to be unclimbed."
167,The sharp-cut north spur dividing the north-east and north-west faces of the mountain was a compelling feature that simply had to be climbed.,possible OCR: no significant OCR errors detected,The sharp-cut north spur dividing the north-east and north-west faces of the mountain was a compelling feature that simply had to be climbed.
172,Scree and snow slopes led to a comfortable bivouac on the right flank of the Phillips glacier.,possible OCR: inconsistent capitalization in geographical names,Scree and snow slopes led to a comfortable bivouac on the right flank of the Phillips Glacier.
